Id	Title	Series
T136/2	There shall come a miracle!	Journey into Mystery -  Thor
T137/1	The thunder god and the troll!	Journey into Mystery -  Thor
T137/2	The tragedy of Hogun!	Journey into Mystery -  Thor
T138/1	The flames of battle!	Journey into Mystery -  Thor
T138/2	The quest for the mystic mountain!	Journey into Mystery -  Thor
T139/1	To die like a god!	Journey into Mystery -  Thor
T139/2	The secret of the mystic mountain!	Journey into Mystery -  Thor
T140/1	The growing man!	Journey into Mystery -  Thor
T140/2	The battle begins!	Journey into Mystery -  Thor
T141/1	The wrath of replicus!	Journey into Mystery -  Thor
T141/2	Alibar and the forty demons!	Journey into Mystery -  Thor
T142/1	The scourge of the super Skrull!	Journey into Mystery -  Thor
T142/2	We, who are about to die �!	Journey into Mystery -  Thor
T143/1	... and, soon shall come: the enchanters!	Journey into Mystery -  Thor
T143/2	To the death!	Journey into Mystery -  Thor
T144/1	This battleground Earth!	Journey into Mystery -  Thor
T144/2	The beginning of the end!	Journey into Mystery -  Thor
T145/1	Abandoned on earth!	Journey into Mystery -  Thor
T145/2	The end!	Journey into Mystery -  Thor
		
ToL1,Part I: It should have been mine…,The trials of Loki
ToL2,Part II: Blood demands blood,The trials of Loki
ToL3,Part III: Funeral for a god,The trials of Loki
ToL4,Part IV: The crooked path,The trials of Loki
L1,Part 1,Loki
L2,Part 2,Loki
L3,Part 3,Loki
L4,Part 4,Loki
T-AoT1,Ages of thunder,Thor : Ages of thunder
T-AoT2,Reign of blood,Thor : Ages of thunder
T-AoT3,Man of war,Thor : Ages of thunder
T-AoT4/Special,Thor – God-sized,Thor : Ages of thunder
T-FA1,Part 1,Thor : For Asgard
T-FA2,Part 2,Thor : For Asgard
T-FA3,Part 3,Thor : For Asgard
T-FA4,Part 4,Thor : For Asgard
T-FA5,Part 5,Thor : For Asgard
T-FA6,Part 6,Thor : For Asgard

JiM21/1	Too human!	Journey into Mystery -  Thor
JiM21/2	The missing men	Journey into Mystery -  Thor
JiM21/3	The man with no past	Journey into Mystery -  Thor
JiM21/4	The hog!	Journey into Mystery -  Thor
JiM21/5	The hidden vampire!	Journey into Mystery -  Thor
JiM22/1	Mission on earth	Journey into Mystery -  Thor
JiM22/2	Haunted house	Journey into Mystery -  Thor
JiM22/3	The man who watched	Journey into Mystery -  Thor
JiM22/4	The blaster!	Journey into Mystery -  Thor
JiM22/5	The human germ	Journey into Mystery -  Thor
